City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
61,Avarua,-21.21,-159.78,77.0,83,50,16.11,scattered clouds,CK,2020-11-01 20:13:50
62,Geraldton,-28.77,114.6,55.4,93,40,12.75,scattered clouds,AU,2020-11-01 20:13:51
63,Hamilton,39.18,-84.53,50.0,37,1,20.8,clear sky,US,2020-11-01 20:13:51
64,Kodiak,57.79,-152.41,30.2,54,75,13.87,broken clouds,US,2020-11-01 20:12:52
65,Isiro,2.77,27.62,69.08,97,100,1.97,overcast clouds,CD,2020-11-01 20:13:51
66,Soc Trang,9.6,105.98,78.8,100,40,3.36,moderate rain,VN,2020-11-01 20:13:52
67,Eganville,45.53,-77.1,44.6,81,20,9.17,few clouds,CA,2020-11-01 20:13:52
68,Barreiras,-12.15,-44.99,83.8,60,84,4.5,light rain,BR,2020-11-01 20:13:52
69,Carnarvon,-24.87,113.63,68.0,68,75,17.22,broken clouds,AU,2020-11-01 20:12:53
70,Yellowknife,62.46,-114.35,17.6,85,90,8.05,light snow,CA,2020-11-01 20:09:30
71,Cape Town,-33.93,18.42,68.0,64,0,14.99,clear sky,ZA,2020-11-01 20:13:53
72,Usinsk,65.99,57.53,26.94,98,99,12.19,light snow,RU,2020-11-01 20:13:54
73,East London,-33.02,27.91,66.25,83,81,15.23,light rain,ZA,2020-11-01 20:13:55
74,Atuona,-9.8,-139.03,77.99,78,10,15.39,light rain,PF,2020-11-01 20:13:55
75,Khatanga,71.97,102.5,2.75,92,100,5.3,overcast clouds,RU,2020-11-01 20:09:58
76,Lompoc,34.64,-120.46,82.0,31,1,8.05,clear sky,US,2020-11-01 20:13:55
77,Aklavik,68.22,-135.01,15.8,72,75,4.7,broken clouds,CA,2020-11-01 20:13:55
78,Okhotsk,59.38,143.3,18.66,87,100,16.28,overcast clouds,RU,2020-11-01 20:13:56
79,Lufilufi,-13.87,-171.6,84.2,79,40,18.28,scattered clouds,WS,2020-11-01 20:13:56
80,Cajamarca,-7.16,-78.5,71.6,10,75,8.05,broken clouds,PE,2020-11-01 20:13:56
81,Tuktoyaktuk,69.45,-133.04,8.6,84,90,8.05,light snow,CA,2020-11-01 20:13:56
82,Dapaong,10.86,0.2,82.76,28,0,5.75,clear sky,TG,2020-11-01 20:13:57
83,Poronaysk,49.22,143.12,48.87,93,100,18.16,heavy intensity rain,RU,2020-11-01 20:13:57
84,Mahebourg,-20.41,57.7,69.8,64,20,6.93,few clouds,MU,2020-11-01 20:13:57
85,Keti Bandar,24.14,67.45,79.29,50,0,7.72,clear sky,PK,2020-11-01 20:13:57
86,Daru,-9.08,143.21,80.67,84,99,13.35,overcast clouds,PG,2020-11-01 20:13:57
87,Arraial Do Cabo,-22.97,-42.03,73.4,69,75,12.75,broken clouds,BR,2020-11-01 20:13:58
88,Kapaa,22.08,-159.32,80.01,88,1,0.74,clear sky,US,2020-11-01 20:10:14
89,Port Elizabeth,-33.92,25.57,64.4,82,23,13.87,few clouds,ZA,2020-11-01 20:10:33
90,Hermanus,-34.42,19.23,63.0,82,0,4.0,clear sky,ZA,2020-11-01 20:10:13
91,Faanui,-16.48,-151.75,79.9,80,33,23.73,light rain,PF,2020-11-01 20:13:58
92,Asyut,27.18,31.18,71.6,48,0,10.31,clear sky,EG,2020-11-01 20:13:59
93,Durant,33.99,-96.37,71.6,30,1,11.41,clear sky,US,2020-11-01 20:09:17
94,Zhigansk,66.77,123.37,-3.39,92,82,16.64,broken clouds,RU,2020-11-01 20:12:06
95,Mana,5.66,-53.78,84.43,70,100,13.44,overcast clouds,GF,2020-11-01 20:13:59
96,Qasigiannguit,68.82,-51.19,19.4,62,100,9.17,light snow,GL,2020-11-01 20:13:59
97,Qaanaaq,77.48,-69.36,1.08,74,0,7.56,clear sky,GL,2020-11-01 20:14:00
98,Upata,8.01,-62.4,93.0,54,81,4.74,moderate rain,VE,2020-11-01 20:14:00
99,Constitucion,-35.33,-72.42,59.38,72,62,8.46,broken clouds,CL,2020-11-01 20:14:00
100,Tiarei,-17.53,-149.33,80.6,74,75,12.75,shower rain,PF,2020-11-01 20:14:00
101,Port Alfred,-33.59,26.89,66.11,81,60,21.09,broken clouds,ZA,2020-11-01 20:14:00
102,Half Moon Bay,37.46,-122.43,77.0,68,20,6.93,few clouds,US,2020-11-01 20:13:29
103,Ancona,43.55,13.17,57.2,93,98,4.7,overcast clouds,IT,2020-11-01 20:14:01
104,Rancho Palos Verdes,33.74,-118.39,75.99,64,75,6.93,broken clouds,US,2020-11-01 20:09:19
105,Husavik,66.04,-17.34,37.4,59,90,2.24,overcast clouds,IS,2020-11-01 20:14:01
106,Bilma,18.69,12.92,73.9,23,0,7.05,clear sky,NE,2020-11-01 20:13:08
107,Chimbote,-9.09,-78.58,66.31,70,100,11.68,overcast clouds,PE,2020-11-01 20:14:02
108,Fortuna,40.6,-124.16,66.0,63,20,11.41,few clouds,US,2020-11-01 20:14:02
109,New Norfolk,-42.78,147.06,54.0,80,100,1.92,overcast clouds,AU,2020-11-01 20:10:12
110,Namibe,-15.2,12.15,73.54,70,88,5.17,overcast clouds,AO,2020-11-01 20:14:02
111,Tailai,46.38,123.4,28.63,84,3,10.49,clear sky,CN,2020-11-01 20:14:02
112,Maniitsoq,65.42,-52.9,23.43,96,100,7.78,overcast clouds,GL,2020-11-01 20:14:03
113,Ancud,-41.87,-73.82,68.0,59,19,8.05,smoke,CL,2020-11-01 20:14:03
114,Ust-Nera,64.57,143.2,-14.85,80,45,4.92,scattered clouds,RU,2020-11-01 20:14:03
115,Inhambane,-23.86,35.38,75.2,69,40,2.24,scattered clouds,MZ,2020-11-01 20:14:03
116,Cidreira,-30.18,-50.21,65.98,62,25,9.4,scattered clouds,BR,2020-11-01 20:14:04
117,Thompson,55.74,-97.86,21.2,85,90,11.41,overcast clouds,CA,2020-11-01 20:12:48
118,Kruisfontein,-34.0,24.73,64.99,75,28,4.0,scattered clouds,ZA,2020-11-01 20:14:04
119,Aswan,24.09,32.91,73.92,40,0,9.55,clear sky,EG,2020-11-01 20:14:04
120,Sao Filipe,14.9,-24.5,79.23,77,38,10.49,scattered clouds,CV,2020-11-01 20:14:05
121,Hobyo,5.35,48.53,80.76,76,1,7.63,light rain,SO,2020-11-01 20:14:05
122,Magdalena,14.2,121.43,77.0,94,90,3.36,light rain,PH,2020-11-01 20:14:05
123,Neiafu,-18.65,-173.98,77.0,88,75,10.29,broken clouds,TO,2020-11-01 20:14:05
124,Greenwood,34.17,-82.12,66.99,63,20,16.11,few clouds,US,2020-11-01 20:14:06
125,Hudson Bay,52.85,-102.38,43.68,61,42,14.03,scattered clouds,CA,2020-11-01 20:14:06
126,Pemangkat,1.17,108.97,79.56,82,61,5.32,moderate rain,ID,2020-11-01 20:14:06
127,Albany,42.6,-73.97,48.0,85,100,1.99,moderate rain,US,2020-11-01 20:14:06
128,Yerbogachen,61.28,108.01,5.9,93,0,7.78,clear sky,RU,2020-11-01 20:14:07
129,Naze,28.37,129.48,71.6,94,75,8.05,broken clouds,JP,2020-11-01 20:10:23
130,Grindavik,63.84,-22.43,35.6,93,75,6.93,broken clouds,IS,2020-11-01 20:14:07
131,El Alto,-4.27,-81.21,77.0,65,0,18.34,clear sky,PE,2020-11-01 20:14:07
132,Ekibastuz,51.67,75.37,38.71,68,98,9.64,overcast clouds,KZ,2020-11-01 20:14:08
133,Novoagansk,61.94,76.66,30.0,98,93,13.02,overcast clouds,RU,2020-11-01 20:14:08
134,Puerto Ayora,-0.74,-90.35,78.8,69,40,18.34,scattered clouds,EC,2020-11-01 20:14:08
135,Tiksi,71.69,128.87,-6.52,90,0,6.67,clear sky,RU,2020-11-01 20:14:08
136,Hovd,48.01,91.64,25.92,88,1,1.21,clear sky,MN,2020-11-01 20:14:09
137,Oranjemund,-28.55,16.43,63.63,64,0,10.49,clear sky,NA,2020-11-01 20:14:09
138,Bang Len,14.02,100.17,82.99,94,20,7.63,few clouds,TH,2020-11-01 20:14:09
139,Killybegs,54.63,-8.45,51.8,71,90,18.34,moderate rain,IE,2020-11-01 20:14:10
140,Asau,46.43,26.4,37.0,97,0,5.01,clear sky,RO,2020-11-01 20:14:10
141,Evensk,61.95,159.23,20.55,93,89,5.55,overcast clouds,RU,2020-11-01 20:12:52
142,Norrtalje,59.76,18.7,52.0,90,100,15.99,light rain,SE,2020-11-01 20:14:10
143,Norman Wells,65.28,-126.83,6.8,65,40,9.17,scattered clouds,CA,2020-11-01 20:10:09
144,Henties Bay,-22.12,14.28,55.99,90,80,1.83,broken clouds,NA,2020-11-01 20:10:20
145,Byron Bay,-28.65,153.62,60.8,87,7,8.05,clear sky,AU,2020-11-01 20:14:11
146,Teguldet,57.31,88.17,33.91,91,100,12.75,overcast clouds,RU,2020-11-01 20:14:11
147,Buchanan,5.88,-10.05,78.42,88,78,8.43,broken clouds,LR,2020-11-01 20:14:12
148,Hilo,19.73,-155.09,82.0,83,90,6.93,moderate rain,US,2020-11-01 20:14:12
149,Egvekinot,66.32,-179.17,9.93,90,24,3.24,few clouds,RU,2020-11-01 20:14:12
150,Saldanha,-33.01,17.94,68.0,56,0,5.82,clear sky,ZA,2020-11-01 20:14:12
151,Esperance,-33.87,121.9,62.6,100,90,8.05,light rain,AU,2020-11-01 20:14:13
152,Cabo San Lucas,22.89,-109.91,91.4,17,20,9.17,few clouds,MX,2020-11-01 20:14:13
153,Pevek,69.7,170.31,15.64,90,100,14.29,overcast clouds,RU,2020-11-01 20:12:08
154,Hithadhoo,-0.6,73.08,83.23,73,100,11.05,light rain,MV,2020-11-01 20:10:08
155,Kavieng,-2.57,150.8,82.81,72,14,7.36,few clouds,PG,2020-11-01 20:14:13
156,Rio Grande,-32.03,-52.1,71.6,43,20,11.41,few clouds,BR,2020-11-01 20:14:14
157,Saskylakh,71.92,114.08,-9.26,88,99,10.67,overcast clouds,RU,2020-11-01 20:12:07
