City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Diego De Almagro,CL,78.69,clear sky,-26.37,-70.05,hotel luna del desierto
306,Itarema,BR,82.24,clear sky,-2.92,-39.92,Windvillage
316,Atar,MR,84.99,overcast clouds,20.52,-13.05,Oumou Elghoura
319,Buala,SB,82.06,light rain,-8.14,159.59,Maringe Lagoon Lodge
325,Kieta,PG,79.95,scattered clouds,-6.22,155.63,
326,Progreso,MX,82.4,overcast clouds,21.28,-89.67,Playa Linda Hotel
327,Kahului,US,84.2,few clouds,20.89,-156.47,Maui Seaside Hotel
329,San Carlos De Bariloche,AR,82.4,few clouds,-41.15,-71.31,Hotel Patagonia
334,Dunmore Town,BS,81.82,light rain,25.5,-76.65,Coral Sands Hotel
336,Sola,VU,80.82,few clouds,-13.88,167.55,Ulkel Guest House
338,Avanigadda,IN,75.13,broken clouds,16.02,80.92,AP Camping
345,Fare,PF,80.76,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
347,Maumere,ID,79.7,overcast clouds,-8.62,122.21,Sylvia Hotel
348,Conceicao Do Araguaia,BR,86.76,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
357,Katiola,CI,82.4,few clouds,8.13,-5.1,Kakoumani
358,Marsh Harbour,BS,81.18,clear sky,26.54,-77.06,Abaco Beach Resort
360,Kulhudhuffushi,MV,82.44,scattered clouds,6.62,73.07,Haajy Guest House 1
364,Hukuntsi,BW,78.03,overcast clouds,-24.0,21.75,Entabeni Hotel
372,Tadine,NC,76.46,clear sky,-21.55,167.88,
373,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
377,Adrar,MR,82.47,overcast clouds,20.5,-10.07,
379,Los Llanos De Aridane,ES,77.0,clear sky,28.66,-17.92,Valle Aridane
381,Wattegama,LK,78.8,overcast clouds,6.8,81.48,
382,Arlit,NE,78.94,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
